1: param_1_biomass1='0.05', param_2_biomass2='0.05', param_3_gly1='-4', param_4_gly2='-10',1,3.38324
53: param_1_biomass1='0.015', param_2_biomass2='0.015', param_3_gly1='-20', param_4_gly2='-7.5',53,2.84125
54: param_1_biomass1='0.1', param_2_biomass2='0.07', param_3_gly1='-0.5', param_4_gly2='-6',54,3.34536
55: param_1_biomass1='0.025', param_2_biomass2='0.015', param_3_gly1='-10', param_4_gly2='-10',55,3.39456
56: param_1_biomass1='0.1', param_2_biomass2='0.025', param_3_gly1='-3', param_4_gly2='-2',56,3.36938
57: param_1_biomass1='0.025', param_2_biomass2='0.015', param_3_gly1='-7.5', param_4_gly2='-6',57,3.39456
58: param_1_biomass1='0.02', param_2_biomass2='0.03', param_3_gly1='-20', param_4_gly2='-3',58,2.7302
59: param_1_biomass1='0.025', param_2_biomass2='0.015', param_3_gly1='-4', param_4_gly2='-6',59,3.39456
60: param_1_biomass1='0.025', param_2_biomass2='0.03', param_3_gly1='-15', param_4_gly2='-4',60,3.25841
61: param_1_biomass1='0.025', param_2_biomass2='0.015', param_3_gly1='-10', param_4_gly2='-7.5',61,3.39456
62: param_1_biomass1='0.015', param_2_biomass2='0.1', param_3_gly1='-2', param_4_gly2='-3',62,1.48986
63: param_1_biomass1='0.025', param_2_biomass2='0.015', param_3_gly1='-3', param_4_gly2='-6',63,3.39456
64: param_1_biomass1='0.1', param_2_biomass2='0.015', param_3_gly1='-0.5', param_4_gly2='-10',64,3.3452
65: param_1_biomass1='0.025', param_2_biomass2='0.015', param_3_gly1='-0.5', param_4_gly2='-7.5',65,3.39456
66: param_1_biomass1='0.1', param_2_biomass2='0.1', param_3_gly1='-1', param_4_gly2='-7.5',66,3.39166
67: param_1_biomass1='0.025', param_2_biomass2='0.1', param_3_gly1='-0.1', param_4_gly2='-7.5',67,2.21382
68: param_1_biomass1='0.05', param_2_biomass2='0.07', param_3_gly1='-2', param_4_gly2='-4',68,3.33461
69: param_1_biomass1='0.015', param_2_biomass2='0.1', param_3_gly1='-4', param_4_gly2='-10',69,1.48986
70: param_1_biomass1='0.1', param_2_biomass2='0.07', param_3_gly1='-0.1', param_4_gly2='-0.5',70,3.34536
71: param_1_biomass1='0.1', param_2_biomass2='0.025', param_3_gly1='-2', param_4_gly2='-10',71,3.36938
72: param_1_biomass1='0.07', param_2_biomass2='0.07', param_3_gly1='-1', param_4_gly2='-15',72,3.41099
73: param_1_biomass1='0.1', param_2_biomass2='0.05', param_3_gly1='-0.5', param_4_gly2='-7.5',73,3.36284
74: param_1_biomass1='0.05', param_2_biomass2='0.1', param_3_gly1='-2', param_4_gly2='-4',74,3.30807
75: param_1_biomass1='0.03', param_2_biomass2='0.07', param_3_gly1='-0.1', param_4_gly2='-10',75,2.8248
76: param_1_biomass1='0.1', param_2_biomass2='0.1', param_3_gly1='-5', param_4_gly2='-0.5',76,3.39166
77: param_1_biomass1='0.025', param_2_biomass2='0.015', param_3_gly1='-0.1', param_4_gly2='-7.5',77,3.39456
78: param_1_biomass1='0.03', param_2_biomass2='0.1', param_3_gly1='-1', param_4_gly2='-1',78,2.56297
79: param_1_biomass1='0.025', param_2_biomass2='0.015', param_3_gly1='-0.1', param_4_gly2='-15',79,3.39456
80: param_1_biomass1='0.015', param_2_biomass2='0.07', param_3_gly1='-3', param_4_gly2='-20',80,1.67349
81: param_1_biomass1='0.025', param_2_biomass2='0.015', param_3_gly1='-0.1', param_4_gly2='-6',81,3.39456
82: param_1_biomass1='0.02', param_2_biomass2='0.07', param_3_gly1='-3', param_4_gly2='-5',82,2.07578
83: param_1_biomass1='0.03', param_2_biomass2='0.025', param_3_gly1='-0.1', param_4_gly2='-6',83,3.38253
84: param_1_biomass1='0.025', param_2_biomass2='0.025', param_3_gly1='-3', param_4_gly2='-4',84,3.32457
85: param_1_biomass1='0.025', param_2_biomass2='0.015', param_3_gly1='-0.1', param_4_gly2='-5',85,3.39456
86: param_1_biomass1='0.015', param_2_biomass2='0.01', param_3_gly1='-0.5', param_4_gly2='-2',86,3.21474
87: param_1_biomass1='0.025', param_2_biomass2='0.015', param_3_gly1='-0.1', param_4_gly2='-3',87,3.39456
88: param_1_biomass1='0.01', param_2_biomass2='0.025', param_3_gly1='-7.5', param_4_gly2='-10',88,1.73735
89: param_1_biomass1='0.03', param_2_biomass2='0.015', param_3_gly1='-6', param_4_gly2='-1',89,3.38139
90: param_1_biomass1='0.01', param_2_biomass2='0.025', param_3_gly1='-1', param_4_gly2='-10',90,1.73735
91: param_1_biomass1='0.1', param_2_biomass2='0.03', param_3_gly1='-7.5', param_4_gly2='-5',91,3.35963
92: param_1_biomass1='0.01', param_2_biomass2='0.02', param_3_gly1='-5', param_4_gly2='-15',92,1.86038
93: param_1_biomass1='0.05', param_2_biomass2='0.01', param_3_gly1='-3', param_4_gly2='-20',93,3.34726
94: param_1_biomass1='0.015', param_2_biomass2='0.01', param_3_gly1='-20', param_4_gly2='-10',94,3.21474
95: param_1_biomass1='0.025', param_2_biomass2='0.03', param_3_gly1='-6', param_4_gly2='-7.5',95,3.25841
96: param_1_biomass1='0.015', param_2_biomass2='0.01', param_3_gly1='-5', param_4_gly2='-20',96,3.21474
97: param_1_biomass1='0.025', param_2_biomass2='0.07', param_3_gly1='-4', param_4_gly2='-20',97,2.45239
98: param_1_biomass1='0.01', param_2_biomass2='0.025', param_3_gly1='-4', param_4_gly2='-20',98,1.73735
99: param_1_biomass1='0.02', param_2_biomass2='0.015', param_3_gly1='-20', param_4_gly2='-2',99,3.38724
100: param_1_biomass1='0.01', param_2_biomass2='0.025', param_3_gly1='-15', param_4_gly2='-3',100,1.73735
